Hash,Ply,GamePly,FEN,HasCastled,Eval,Result
3E53BC897E96B6FB,60,81,6k1/1p3pb1/p3q2p/P2Nn2Q/1P6/6BP/5PPK/8 w - - 1 31,3,249,0.5
0E77738AEFC7258E,60,87,k6r/2rb2p1/4p2p/p2pPp1P/PR1P4/3N4/5PP1/1R4K1 w - - 0 31,3,408,1.0
9DFAE872A07A4245,33,107,2r2r2/p2qp1kp/1pn2pp1/2pn4/4N3/1P1PPN2/PQ3PPP/2RR2K1 b - - 3 17,3,3,0.5
AE1F7C8600A25B51,101,157,8/2Q2pk1/8/4p2r/4P3/1P3P2/6K1/8 b - - 2 51,3,1100,1.0
A9B4945B62D4A4E4,198,249,2K5/8/8/8/8/4k3/8/7Q w - - 15 100,1,1643,1.0
2F9CC3FD46691D8F,30,79,r1q2rk1/1p3ppp/p2bp3/n1n2b2/7B/1BN2N1P/PPP1QPP1/R4RK1 w - - 0 16,3,15,0.5
DC083B330C41F4AF,19,95,r2qkb1r/3b1p1p/p2p1np1/1pp1p3/4P3/PPN2P2/1BPP1QPP/R3K1NR b KQkq - 1 10,0,-15,0.5
A366617E30A8A306,72,129,6r1/pp1nbN2/2k5/2P1p3/P1R3p1/4Pn1p/1B3P2/3R3K w - - 6 37,1,130,0.5
2387897DE3A8381A,88,101,6b1/p5P1/1p1npK2/1P6/4B3/P1k5/2P5/8 w - - 1 45,3,-200,0.0
C781C44FBC65AEE7,40,81,3r1rk1/p4pbp/2nNb1p1/2q5/3p4/P4B2/1P3PPP/R1BQR1K1 w - - 0 21,3,138,1.0
81F5DA3DD4847C74,77,137,8/4rk2/p4qp1/1p2np2/2pQ4/2P4P/P5P1/3RR2K b - - 11 39,3,50,1.0
30A9C1573D8BC9F8,190,207,8/3k4/7p/6p1/R5Pr/8/6K1/8 w - - 79 96,3,-83,0.5
B9A99E1EF0FD7D15,20,143,r3k2r/pp3ppp/2nqpn2/3p4/8/3PPN2/PP1N1PPP/2RQK2R w Kkq - 0 11,0,4,0.5
A75400D9389E0059,54,132,r3r1k1/1b1n1p2/p1qB2p1/1pP3PB/4p3/2P1Q3/P6P/R4RK1 w - - 0 28,3,-4,0.5
92B00C022F948CF6,114,147,6k1/3R4/6N1/1p4P1/5P1P/1n6/3pK3/2b5 w - - 1 58,3,899,1.0
2D30C23CD3538BBE,86,109,6b1/8/2p5/p1p3N1/PpP1P1K1/1P1k3p/7P/8 w - - 0 44,1,10,0.0
C4298FED133185E1,39,81,r1r3kb/2n1pp1p/p2p2p1/QppPn1B1/2P1P3/Pq2N3/1P2BPPP/1RR3K1 b - - 3 20,3,132,1.0
2CEDFBA2E2A8090E,153,214,5B2/5p1k/b6P/4P3/6r1/3pK3/8/3R4 b - - 35 77,2,-69,0.5
97000A9AF47C9CF6,44,169,1rr3k1/p1q1pp1p/3p2p1/3P4/1p1PP3/3Q2PP/Pp3PB1/R2R2K1 w - - 0 23,3,347,1.0
48F6775EB8399017,51,164,r3r3/1p3kpp/p3R3/5P2/8/BP1b4/P2P2PP/4R1K1 b - - 2 26,3,357,1.0
9DAB8BC92DE092F4,135,156,8/4B3/8/PK6/6Pp/4bk2/8/8 b - - 0 68,2,-28,0.5
B020D303F1B3B313,87,151,5q1k/1rp4n/P2p1nR1/1N1Pp2p/2P1Pr2/6Q1/2K1B3/6R1 b - - 0 44,2,355,1.0
7D9E9C3C30024003,33,79,2r1r1k1/pbpq1pbp/1pn3p1/4pn2/QP2N3/P2PPNP1/1B3PBP/2RR2K1 b - - 10 17,3,145,1.0
F021D46BD45D3401,16,125,rnbq1rk1/2p1ppb1/p2p1npp/1p6/3PP3/2N1BN2/PPP1BPPP/R2Q1RK1 w - b6 0 9,3,28,1.0
7143FBAD1CD46836,70,124,3r2k1/6p1/1p5p/p7/P1Pb3P/1P2p3/2B1K1b1/3R4 w - - 0 36,3,-720,0.0
